saved_file,marks_of_rule_1,marks_of_rule_2
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\AESCrypto16507809056049.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\ArgDelegationPeerImpl16507808960473.java,8.24,7.7
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CallHistoryActivator16507808972511.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CallHistoryQueryImpl16507808978470.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CallHistorySourceContact16507808991157.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CertificateServiceImpl16500888476964.java,57.679999999999986,53.90000000000001
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\ClassJsonAdapterTest16500860114246.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\CredentialsStorageServiceImpl16507809062759.java,24.720000000000002,23.1
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\DeckOptions16507808749255.java,0.0,0.0
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\DnsUtilActivator16507809076972.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\FileMenu16507809295727.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\GeneralDialPanel16507809258408.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\GlobalShortcutActivator16507809130080.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\GlobalStatusServiceImpl16507809119541.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\JdbcConfigService16500888483468.java,115.36000000000004,107.79999999999995
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\LayoutValidationTest16507808892407.java,4.12,3.85
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\MclStorageManager16507809017370.java,12.36,11.55
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\MetaContactGroupImpl16507809024739.java,8.24,7.7
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\NoteInfo16507808942474.java,0.0,0.0
D:\Educational\Academic\FYP Research\INTERIM\CODES\1_Repo_miner\repo_miner_input_datasets\Test\g_1\SIPCommWindowMenuBar16507809301772.java,12.36,11.55
